,FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial
33,30,6123.547647058824,LEO,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1032
34,31,6070.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1034
35,32,2708.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1035
36,33,3669.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1,B1029
37,34,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1036
38,35,6761.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1037
39,36,2910.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1039
40,37,475.0,SSO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1038
41,38,4990.0,LEO,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1040
42,39,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,4.0,1,B1041
43,40,5200.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1,B1031
44,41,3700.0,GTO,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,0,B1042
45,42,2205.0,ISS,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1035
46,43,9600.0,PO,VAFB SLC 4E,2,True,True,False,,3.0,1,B1036
47,44,6123.547647058824,LEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1043
48,45,4230.0,GTO,CCSFS SLC 40,2,True,True,True,,3.0,1,B1032
49,46,6092.0,GTO,CCSFS SLC 40,1,True,False,True,,4.0,0,B1044
50,47,9600.0,PO,VAFB SLC 4E,2,True,True,True,,4.0,1,B1041
51,48,2760.0,ISS,CCSFS SLC 40,2,True,True,True,,4.0,1,B1039
52,49,350.0,HEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,1,B1045
53,50,3750.0,GTO,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1046
54,51,5383.85,GTO,CCSFS SLC 40,2,False,True,False,,4.0,1,B1040
55,52,2410.0,ISS,CCSFS SLC 40,2,False,True,False,,4.0,1,B1045
56,53,7076.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1047
57,54,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,4,B1048
58,55,5800.0,GTO,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1046
59,56,7060.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049
60,57,2800.0,SSO,VAFB SLC 4E,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,4,B1048
61,58,3000.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1047
62,59,4000.0,SSO,VAFB SLC 4E,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,3,B1046
63,60,2573.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1050
64,61,4400.0,MEO,CCSFS SLC 40,1,False,False,False,,5.0,0,B1054
65,62,9600.0,PO,VAFB SLC 4E,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1049
66,63,12259.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051
67,64,2482.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056
68,65,13200.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049
69,66,1425.0,SSO,VAFB SLC 4E,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,12,B1051
70,67,2227.7,ISS,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,3,B1056
71,68,6500.0,GTO,CCSFS SLC 40,3,False,True,False,,5.0,2,B1047
72,69,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4,B1048
73,70,5000.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1059
74,71,6800.0,GTO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056
75,72,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049
76,73,6123.547647058824,SO,KSC LC 39A,4,False,True,False,,5.0,3,B1046
77,74,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051
78,75,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056
79,76,1977.0,ISS,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5,B1059
80,77,15600.0,VLEO,KSC LC 39A,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4,B1048
81,78,15600.0,VLEO,KSC LC 39A,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051
82,79,9525.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,13,B1058
83,80,15600.0,VLEO,CCSFS SLC 40,5,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1049
84,81,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1059
85,82,3880.0,MEO,CCSFS SLC 40,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060
86,83,6123.547647058824,GEO,CCSFS SLC 40,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13,B1058
87,84,15600.0,VLEO,CCSFS SLC 40,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049
88,85,1600.0,SSO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5,B1059
89,86,15600.0,VLEO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1060
90,87,15600.0,VLEO,KSC LC 39A,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13,B1058
91,88,15600.0,VLEO,KSC LC 39A,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051
92,89,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060
93,90,3681.0,MEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,8,B1062
